bTotalAssists,bTotalBaronKills,bSumChampLevel,bTotalDamageObjectives,bTotalPinkWardPlaced,bTotalDragonKills,bFirstBlood,bFirstTower,bSurrender,bTotalGold,bTotalKills,bCountPentaKills,bTotalDamageEnemy,bTotalHeal,bTotalHealOnTeammates,bTotalMinionsKilled,bVisionScore,bWardsKilled,bTotalWardsPlaced,bWin,rTotalAssists,rTotalBaronKills,rSumChampLevel,rTotalDamageObjectives,rTotalPinkWardPlaced,rTotalDragonKills,rFirstBlood,rFirstTower,rSurrender,rTotalGold,rTotalKills,rCountPentaKills,rTotalDamageEnemy,rTotalHeal,rTotalHealOnTeammates,rTotalMinionsKilled,rVisionScore,rWardsKilled,rTotalWardsPlaced,rWin,GameDuration,bAvgChampLevel,rAvgChampLevel
48,1,74,61060,21,1,0,0,0,56942,36,0,67442,43547,735,588,176,27,97,1.0,20,0,66,24714,26,2,1,0,0,45771,20,0,74985,12939,139,596,170,41,73,0.0,1565,14.8,13.2
16,0,48,5627,14,0,1,0,5,27119,10,0,29511,7567,1030,354,76,11,46,0.0,15,0,53,22183,16,2,0,1,5,33279,16,0,39204,16823,653,463,69,13,35,1.0,1004,9.6,10.6
52,1,72,84246,21,2,0,0,0,56278,28,0,57615,32671,3581,653,125,16,58,1.0,20,0,60,26185,10,2,1,1,0,42703,10,0,62605,11508,0,594,128,15,50,0.0,1471,14.4,12.0
40,0,66,7896,13,0,1,0,5,47315,31,0,79471,14229,2642,515,133,19,51,0.0,57,1,77,79518,12,4,0,1,5,64201,49,0,109335,34901,0,542,142,16,47,1.0,1618,13.2,15.4
28,0,63,26311,5,1,1,0,5,43876,18,0,61884,15238,1101,552,123,20,45,0.0,50,1,69,60491,18,2,0,1,5,52166,31,0,64047,21915,4086,559,114,11,55,1.0,1421,12.6,13.8
44,1,81,67889,35,2,1,1,5,67326,23,0,94529,22591,0,817,271,48,123,0.0,33,1,84,66755,32,4,0,0,5,70135,23,0,92056,49699,9101,870,258,47,110,1.0,2206,16.2,16.8
22,0,55,8167,11,0,0,0,0,33798,13,0,46755,10794,616,461,80,7,43,0.0,51,0,63,60256,7,3,1,1,0,48511,27,0,55096,21361,4544,508,100,11,37,1.0,1290,11.0,12.6
32,0,76,43740,31,2,0,0,0,58736,25,0,70761,38913,18379,714,202,35,87,0.0,49,2,84,84361,21,3,1,1,0,68901,35,0,98592,26973,1011,835,212,39,77,1.0,1885,15.2,16.8
82,1,86,66003,30,2,0,0,0,76567,42,0,140277,50135,11375,794,279,31,118,1.0,64,1,86,86770,22,4,1,0,0,75635,47,0,143664,46523,789,770,227,45,84,0.0,2316,17.2,17.2
36,1,70,69585,10,1,0,0,0,53255,28,0,60040,19104,566,562,138,27,57,1.0,21,0,65,28868,25,2,1,0,0,44495,18,0,53744,20726,4306,591,140,19,77,0.0,1503,14.0,13.0
71,1,84,65725,22,3,0,0,0,70380,42,0,126948,31862,3505,726,221,24,86,0.0,62,1,86,73716,15,2,1,1,0,72301,37,0,100745,49250,14927,757,205,36,72,1.0,2068,16.8,17.2
44,1,76,57358,24,0,0,1,0,61657,32,0,84222,22799,5835,685,239,41,97,0.0,47,1,81,84069,21,4,1,0,0,70300,41,0,105805,34746,9659,716,177,32,66,1.0,1985,15.2,16.2
45,0,63,53984,9,3,1,0,0,47517,29,0,59653,21662,7750,499,91,11,44,1.0,21,0,56,22014,12,0,0,1,0,39391,16,0,46388,14606,2298,477,101,13,42,0.0,1266,12.6,11.2
17,0,53,7042,15,0,0,0,0,32682,14,0,46411,7753,470,416,96,11,44,0.0,31,0,63,59130,12,2,1,1,0,48179,32,0,59479,23570,4468,488,103,16,41,1.0,1210,10.6,12.6
64,2,87,76834,34,2,0,0,0,80062,42,0,178857,35751,3157,828,265,27,113,0.0,53,1,85,87468,40,4,1,1,0,75599,39,0,107309,62170,749,808,264,34,109,1.0,2325,17.4,17.0
27,1,65,44143,13,0,0,1,0,48585,21,0,67571,27990,0,551,159,26,57,0.0,38,0,72,63076,21,3,1,0,0,58052,33,0,96653,25764,2170,624,153,16,69,1.0,1516,13.0,14.4
51,2,89,113379,25,1,0,1,0,92125,47,0,178296,30652,1534,853,299,49,99,0.0,93,1,90,99888,29,6,1,0,0,102741,71,0,223586,48273,963,996,342,36,130,1.0,2797,17.8,18.0
32,0,60,12861,9,1,0,0,5,41278,20,0,46832,21280,6731,501,94,16,45,0.0,35,0,68,57196,13,1,1,1,5,54131,31,0,68775,11487,275,639,132,19,52,1.0,1375,12.0,13.6
38,1,78,68465,23,1,1,1,0,64644,38,0,118675,19274,399,657,171,22,73,1.0,49,0,77,35130,15,3,0,0,0,56791,31,0,83943,34554,3586,686,147,18,61,0.0,1759,15.6,15.4
28,0,50,24828,6,2,1,1,5,33078,23,0,35513,12730,0,336,65,11,29,1.0,12,0,44,7762,10,0,0,0,5,24322,9,0,31196,7591,782,328,52,2,40,0.0,915,10.0,8.8
